start-time,duration,end-time,type-of-collision
255.479,1.181,256.66,Agent-Human
262.269,1.2649999999999999,263.534,Agent-Human
311.432,1.292,312.724,Agent-Human
318.318,1.2549999999999999,319.573,Agent-Human
437.287,1.224,438.511,Agent-Human
444.121,1.1240000000000001,445.245,Agent-Human
493.245,1.159,494.404,Agent-Human
500.014,1.0580000000000001,501.072,Agent-Human
619.211,1.0900000000000001,620.301,Agent-Human
625.818,1.359,627.177,Agent-Human
675.036,1.349,676.385,Agent-Human
682.037,1.0700000000000001,683.107,Agent-Human
