start-time,duration,end-time,type-of-collision
105.755,1.1200000000000001,106.875,Agent-Human
130.71,1.125,131.835,Agent-Human
183.75,1.2050000000000001,184.955,Agent-Human
208.68,1.135,209.815,Agent-Human
261.695,1.1200000000000001,262.815,Agent-Human
286.735,1.1899999999999999,287.925,Agent-Human
339.755,1.2050000000000001,340.96,Agent-Human
364.785,1.125,365.91,Agent-Human
417.76,1.135,418.895,Agent-Human
442.695,1.135,443.83,Agent-Human
495.735,1.2,496.935,Agent-Human
520.655,1.1950000000000001,521.85,Agent-Human
573.9,1.135,575.035,Agent-Human
