start-time,duration,end-time,type-of-collision
13.71,1.26,14.97,Agent-Human
38.35,1.1200000000000001,39.47,Agent-Human
56.27,1.1200000000000001,57.39,Agent-Human
78.6,1.1200000000000001,79.72,Agent-Human
96.52,1.1200000000000001,97.64,Agent-Human
118.78,1.1899999999999999,119.97,Agent-Human
136.7,1.1899999999999999,137.89,Agent-Human
159.1,1.1200000000000001,160.22,Agent-Human
177.02,1.1200000000000001,178.14,Agent-Human
199.28,1.1899999999999999,200.47,Agent-Human
217.2,1.1899999999999999,218.39,Agent-Human
239.53,1.1200000000000001,240.65,Agent-Human
257.525,1.1200000000000001,258.645,Agent-Human
279.785,1.1200000000000001,280.905,Agent-Human
297.705,1.1200000000000001,298.825,Agent-Human
319.965,1.1899999999999999,321.155,Agent-Human
337.955,1.1899999999999999,339.145,Agent-Human
360.285,1.1200000000000001,361.405,Agent-Human
378.205,1.1200000000000001,379.325,Agent-Human
400.465,1.1200000000000001,401.585,Agent-Human
