start-time,duration,end-time,type-of-collision
325.696,1.089,326.785,Agent-Human
336.911,1.1579999999999999,338.069,Agent-Human
397.832,1.0900000000000001,398.922,Agent-Human
409.188,1.1619999999999999,410.35,Agent-Human
470.072,1.1000000000000001,471.172,Agent-Human
481.429,1.04,482.469,Agent-Human
542.344,1.171,543.515,Agent-Human
553.569,1.163,554.732,Agent-Human
614.589,1.087,615.676,Agent-Human
625.877,1.1579999999999999,627.035,Agent-Human
686.812,1.159,687.971,Agent-Human
698.095,1.1659999999999999,699.261,Agent-Human
759.038,1.2310000000000001,760.269,Agent-Human
770.332,1.2270000000000001,771.559,Agent-Human
831.315,1.095,832.41,Agent-Human
842.603,1.167,843.77,Agent-Human
903.564,1.0960000000000001,904.66,Agent-Human
914.915,1.0169999999999999,915.932,Agent-Human
975.77,1.1619999999999999,976.932,Agent-Human
