start-time,duration,end-time,type-of-collision
140.395,1.1599999999999999,141.555,Agent-Human
190.776,1.2350000000000001,192.011,Agent-Human
322.17,1.087,323.257,Agent-Human
372.501,1.089,373.59,Agent-Human
504.031,1.0900000000000001,505.121,Agent-Human
554.414,1.161,555.575,Agent-Human
685.817,1.0880000000000001,686.905,Agent-Human
736.014,1.3540000000000001,737.368,Agent-Human
867.559,1.1579999999999999,868.717,Agent-Human
917.847,1.224,919.071,Agent-Human
1049.46,1.089,1050.549,Agent-Human
1099.681,1.0880000000000001,1100.769,Agent-Human
