start-time,duration,end-time,type-of-collision
632.47,0.495,632.965,Agent-Human
705.655,1.125,706.78,Agent-Human
735.73,1.1200000000000001,736.85,Agent-Human
768.225,1.1950000000000001,769.42,Agent-Human
798.31,1.1899999999999999,799.5,Agent-Human
830.95,1.1299999999999999,832.08,Agent-Human
860.925,1.2,862.125,Agent-Human
893.425,1.1950000000000001,894.62,Agent-Human
923.59,1.135,924.725,Agent-Human
956.065,1.1950000000000001,957.26,Agent-Human
986.16,1.1899999999999999,987.35,Agent-Human
1019.105,1.1299999999999999,1020.235,Agent-Human
1049.3,1.1200000000000001,1050.42,Agent-Human
1081.68,1.125,1082.805,Agent-Human
1112.18,1.1200000000000001,1113.3,Agent-Human
1144.71,1.125,1145.835,Agent-Human
1174.78,1.1200000000000001,1175.9,Agent-Human
