start-time,duration,end-time,type-of-collision
662.679,0.54400000000000004,663.223,Agent-Human
671.331,0.21099999999999999,671.542,Agent-Human
674.545,0.27700000000000002,674.822,Agent-Human
690.204,0.53900000000000003,690.743,Agent-Human
694.905,0.34100000000000003,695.246,Agent-Human
709.879,1.155,711.034,Agent-Human
714.978,0.13900000000000001,715.117,Agent-Human
734.507,0.61399999999999999,735.121,Agent-Human
813.316,0.27200000000000002,813.588,Agent-Human
815.229,0.53900000000000003,815.768,Agent-Human
824.291,0.54300000000000004,824.834,Agent-Human
825.927,0.27400000000000002,826.201,Agent-Human
834.73,0.27600000000000002,835.006,Agent-Human
838.553,0.27400000000000002,838.827,Agent-Human
