start-time,duration,end-time,type-of-collision
113.52,1.1899999999999999,114.71,Agent-Human
122.9,1.1200000000000001,124.02,Agent-Human
177.08,1.1899999999999999,178.27,Agent-Human
186.39,1.1899999999999999,187.58,Agent-Human
240.64,1.1899999999999999,241.83,Agent-Human
250.02,1.1200000000000001,251.14,Agent-Human
304.065,1.1200000000000001,305.185,Agent-Human
313.235,1.1200000000000001,314.355,Agent-Human
366.79,1.1200000000000001,367.91,Agent-Human
376.45,1.1200000000000001,377.57,Agent-Human
429.8,1.1200000000000001,430.92,Agent-Human
438.97,1.1200000000000001,440.09,Agent-Human
492.735,1.1899999999999999,493.925,Agent-Human
501.98,1.1200000000000001,503.1,Agent-Human
555.33,1.1899999999999999,556.52,Agent-Human
564.5,1.1899999999999999,565.69,Agent-Human
618.26,1.1200000000000001,619.38,Agent-Human
627.43,1.1899999999999999,628.62,Agent-Human
680.775,1.1200000000000001,681.895,Agent-Human
690.365,1.1899999999999999,691.555,Agent-Human
743.78,1.1200000000000001,744.9,Agent-Human
753.37,1.1899999999999999,754.56,Agent-Human
806.795,1.1200000000000001,807.915,Agent-Human
816.315,1.1200000000000001,817.435,Agent-Human
870.085,1.1200000000000001,871.205,Agent-Human
879.33,1.1200000000000001,880.45,Agent-Human
932.68,1.1899999999999999,933.87,Agent-Human
941.92,1.1899999999999999,943.11,Agent-Human
995.76,1.1200000000000001,996.88,Agent-Human
1004.93,1.1200000000000001,1006.05,Agent-Human
1058.27,1.1899999999999999,1059.46,Agent-Human
1067.93,1.1899999999999999,1069.12,Agent-Human
1121.695,1.1899999999999999,1122.885,Agent-Human
1130.87,1.1899999999999999,1132.06,Agent-Human
1184.84,1.1200000000000001,1185.96,Agent-Human
1194.01,1.1200000000000001,1195.13,Agent-Human
