start-time,duration,end-time,type-of-collision
36.43,0.41999999999999998,36.85,Agent-Human
55.96,1.1899999999999999,57.15,Agent-Human
84.17,1.1200000000000001,85.29,Agent-Human
109.23,1.1899999999999999,110.42,Agent-Human
131.35,1.1200000000000001,132.47,Agent-Human
162.43,1.1200000000000001,163.55,Agent-Human
191.34,1.1899999999999999,192.53,Agent-Human
211.64,1.1200000000000001,212.76,Agent-Human
239.78,1.1899999999999999,240.97,Agent-Human
264.91,1.1200000000000001,266.03,Agent-Human
286.96,1.1899999999999999,288.15,Agent-Human
318.04,1.1899999999999999,319.23,Agent-Human
347.02,1.1200000000000001,348.14,Agent-Human
367.25,1.1899999999999999,368.44,Agent-Human
395.46,1.1899999999999999,396.65,Agent-Human
420.59,1.1200000000000001,421.71,Agent-Human
442.64,1.1200000000000001,443.76,Agent-Human
473.72,1.1200000000000001,474.84,Agent-Human
502.63,1.1899999999999999,503.82,Agent-Human
522.93,1.1200000000000001,524.05,Agent-Human
551.14,1.1200000000000001,552.26,Agent-Human
576.2,1.1899999999999999,577.39,Agent-Human
598.25,1.1899999999999999,599.44,Agent-Human
629.33,1.1899999999999999,630.52,Agent-Human
658.31,1.1200000000000001,659.43,Agent-Human
678.54,1.1899999999999999,679.73,Agent-Human
706.75,1.1899999999999999,707.94,Agent-Human
731.88,1.1200000000000001,733.0,Agent-Human
753.93,1.1200000000000001,755.05,Agent-Human
785.01,1.1200000000000001,786.13,Agent-Human
813.92,1.1899999999999999,815.11,Agent-Human
834.22,1.1200000000000001,835.34,Agent-Human
862.43,1.1200000000000001,863.55,Agent-Human
887.49,1.1899999999999999,888.68,Agent-Human
909.61,1.1200000000000001,910.73,Agent-Human
940.69,1.1200000000000001,941.81,Agent-Human
969.6,1.1200000000000001,970.72,Agent-Human
989.9,1.1200000000000001,991.02,Agent-Human
1018.04,1.1899999999999999,1019.23,Agent-Human
