start-time,duration,end-time,type-of-collision
67.735,1.135,68.87,Agent-Human
126.695,1.125,127.82,Agent-Human
199.095,1.125,200.22,Agent-Human
258.175,1.1950000000000001,259.37,Agent-Human
330.58,1.125,331.705,Agent-Human
389.775,1.21,390.985,Agent-Human
462.24,1.1399999999999999,463.38,Agent-Human
521.435,1.125,522.56,Agent-Human
593.845,1.2050000000000001,595.05,Agent-Human
653.39,1.135,654.525,Agent-Human
725.86,1.125,726.985,Agent-Human
785.08,1.135,786.215,Agent-Human
857.545,1.1399999999999999,858.685,Agent-Human
916.825,1.1950000000000001,918.02,Agent-Human
989.245,1.155,990.4,Agent-Human
1048.405,1.1299999999999999,1049.535,Agent-Human
1120.82,1.145,1121.965,Agent-Human
1180.055,1.125,1181.18,Agent-Human
